# Chunk-averaged data for fix 3 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_mytemp
10000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 279.611
  4 0.175 20 277.006
  5 0.225 20 277.188
  6 0.275 33.42 292.624
  7 0.325 26.58 295.164
  8 0.375 20 310.203
  9 0.425 20 304.656
  10 0.475 20 303.78
  11 0.525 20 307.165
  12 0.575 20 311.04
  13 0.625 23.42 309.89
  14 0.675 36.58 299.822
  15 0.725 20 290.568
  16 0.775 20 279.971
  17 0.825 20 271.457
  18 0.875 20 279.324
  19 0.925 0 0
  20 0.975 0 0
20000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 204.811
  4 0.175 20 205.689
  5 0.225 20 218.543
  6 0.275 33.81 272.452
  7 0.325 26.19 292.068
  8 0.375 20 284.445
  9 0.425 20 299.677
  10 0.475 20 295.925
  11 0.525 20 307.6
  12 0.575 20 309.65
  13 0.625 23.56 302.987
  14 0.675 36.44 311.231
  15 0.725 20 303.226
  16 0.775 20 331.88
  17 0.825 20 379.952
  18 0.875 20 395.84
  19 0.925 0 0
  20 0.975 0 0
30000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 208.988
  4 0.175 20 201.347
  5 0.225 20 207.45
  6 0.275 33.52 268.577
  7 0.325 26.48 285.552
  8 0.375 20 290.7
  9 0.425 20 284.012
  10 0.475 20 301.628
  11 0.525 20 291.899
  12 0.575 20 292.942
  13 0.625 23.45 302.911
  14 0.675 36.55 315.053
  15 0.725 20 323.555
  16 0.775 20 334.024
  17 0.825 20 380.805
  18 0.875 20 399.33
  19 0.925 0 0
  20 0.975 0 0
40000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 206.122
  4 0.175 20 210.452
  5 0.225 20 218.656
  6 0.275 33.87 269.721
  7 0.325 26.13 282.611
  8 0.375 20 286.716
  9 0.425 20 289.977
  10 0.475 20 303.213
  11 0.525 20 292.472
  12 0.575 20 290.166
  13 0.625 23.17 298.094
  14 0.675 36.83 307.59
  15 0.725 20 312.028
  16 0.775 20 329.066
  17 0.825 20 388.456
  18 0.875 20 400.887
  19 0.925 0 0
  20 0.975 0 0
50000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 206.566
  4 0.175 20 207.411
  5 0.225 20 221.797
  6 0.275 33.62 271.701
  7 0.325 26.38 283.985
  8 0.375 20 291.817
  9 0.425 20 288.886
  10 0.475 20 286.697
  11 0.525 20 300.35
  12 0.575 20 292.69
  13 0.625 23.05 291.677
  14 0.675 36.95 306.197
  15 0.725 20 306.63
  16 0.775 20 323.045
  17 0.825 20 373.792
  18 0.875 20 393.345
  19 0.925 0 0
  20 0.975 0 0
60000 20 360
  1 0.025 0 0
  2 0.075 0 0
  3 0.125 20 205.053
  4 0.175 20 205.042
  5 0.225 20 211.544
  6 0.275 34.11 277.803
  7 0.325 25.89 286.489
  8 0.375 20 291.664
  9 0.425 20 298.066
  10 0.475 20 295.074
  11 0.525 20 294.385
  12 0.575 20 306.134
  13 0.625 22.51 312.605
  14 0.675 37.49 313.962
  15 0.725 20 318.034
  16 0.775 20 325.039
  17 0.825 20 382.563
  18 0.875 20 401.56
  19 0.925 0 0
  20 0.975 0 0
