# Chunk-averaged data for fix 3 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_mytemp
10000 40 719.9999999999999
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 277.442
  5 0.1125 20 284.984
  6 0.1375 20 287.31
  7 0.1625 20 279.558
  8 0.1875 20 290.982
  9 0.2125 20 288.075
  10 0.2375 20 302.319
  11 0.2625 20 295.923
  12 0.2875 20 286.941
  13 0.3125 20.24 297.405
  14 0.3375 25.21 301.29
  15 0.3625 31.8 295.984
  16 0.3875 22.67 308.612
  17 0.4125 20.08 311.454
  18 0.4375 20 290.912
  19 0.4625 20 298.59
  20 0.4875 20 278.896
  21 0.5125 20 270.679
  22 0.5375 20 284.12
  23 0.5625 20 290.978
  24 0.5875 20 293.669
  25 0.6125 20 284.2
  26 0.6375 20 283.909
  27 0.6625 20 284.894
  28 0.6875 20 286.747
  29 0.7125 20 282.158
  30 0.7375 20 287.729
  31 0.7625 21.03 284.749
  32 0.7875 29.04 297.3
  33 0.8125 29.37 279.456
  34 0.8375 20.56 288.44
  35 0.8625 20 286.812
  36 0.8875 20 274.199
  37 0.9125 20 270.2
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
20000 40 720
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 199.968
  5 0.1125 20 204.887
  6 0.1375 20 211.617
  7 0.1625 20 262.858
  8 0.1875 20 293.403
  9 0.2125 20 289.981
  10 0.2375 20 290.976
  11 0.2625 20 288.36
  12 0.2875 20 281.387
  13 0.3125 20.13 293.041
  14 0.3375 24.96 296.467
  15 0.3625 32.36 296.208
  16 0.3875 22.48 295.099
  17 0.4125 20.07 295.607
  18 0.4375 20 307.133
  19 0.4625 20 300.569
  20 0.4875 20 320.475
  21 0.5125 20 308.505
  22 0.5375 20 309.921
  23 0.5625 20 305.361
  24 0.5875 20 309.174
  25 0.6125 20 319.082
  26 0.6375 20 319.088
  27 0.6625 20 322.726
  28 0.6875 20 327.654
  29 0.7125 20 317.957
  30 0.7375 20.01 309.42
  31 0.7625 20.87 325.882
  32 0.7875 30.1 332.453
  33 0.8125 28.64 342.624
  34 0.8375 20.38 383.076
  35 0.8625 20 390.55
  36 0.8875 20 402.044
  37 0.9125 20 402.641
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
30000 40 720
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 195.41
  5 0.1125 20 193.103
  6 0.1375 20 216.211
  7 0.1625 20 259.48
  8 0.1875 20 275.703
  9 0.2125 20 288.658
  10 0.2375 20 288.223
  11 0.2625 20 285.604
  12 0.2875 20 293.102
  13 0.3125 20.17 300.436
  14 0.3375 24.57 293.257
  15 0.3625 32.4 291.868
  16 0.3875 22.82 280.844
  17 0.4125 20.04 283.676
  18 0.4375 20 289.124
  19 0.4625 20 299.338
  20 0.4875 20 302.377
  21 0.5125 20 294.473
  22 0.5375 20 296.417
  23 0.5625 20 288.651
  24 0.5875 20 300.786
  25 0.6125 20 301.182
  26 0.6375 20 308.361
  27 0.6625 20 305.635
  28 0.6875 20 308.211
  29 0.7125 20 319.343
  30 0.7375 20 313.566
  31 0.7625 20.67 316.06
  32 0.7875 29.99 315.846
  33 0.8125 28.96 330.569
  34 0.8375 20.38 378.191
  35 0.8625 20 393.753
  36 0.8875 20 391.013
  37 0.9125 20 399.868
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
40000 40 720
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 201.425
  5 0.1125 20 205.464
  6 0.1375 20 217.718
  7 0.1625 20 271.709
  8 0.1875 20 274.598
  9 0.2125 20 275.921
  10 0.2375 20 276.953
  11 0.2625 20 279.629
  12 0.2875 20 284.104
  13 0.3125 20.14 296.923
  14 0.3375 24.79 290.549
  15 0.3625 32.44 292.992
  16 0.3875 22.59 284.917
  17 0.4125 20.04 304.775
  18 0.4375 20 305.137
  19 0.4625 20 301.701
  20 0.4875 20 303.235
  21 0.5125 20 302.213
  22 0.5375 20 308.772
  23 0.5625 20 308.922
  24 0.5875 20 298.92
  25 0.6125 20 304.393
  26 0.6375 20 305.315
  27 0.6625 20 308.527
  28 0.6875 20 303.655
  29 0.7125 20 305.9
  30 0.7375 20.01 308.921
  31 0.7625 20.8 318.453
  32 0.7875 29.52 313.961
  33 0.8125 29.21 327.858
  34 0.8375 20.46 380.218
  35 0.8625 20 401.623
  36 0.8875 20 397.509
  37 0.9125 20 395.936
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
50000 40 720
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 201.329
  5 0.1125 20 201.599
  6 0.1375 20 211.666
  7 0.1625 20 265.238
  8 0.1875 20 282.233
  9 0.2125 20 290.181
  10 0.2375 20 284.029
  11 0.2625 20 279.482
  12 0.2875 20 292.704
  13 0.3125 20.13 291.855
  14 0.3375 24.83 300.953
  15 0.3625 32.28 288.094
  16 0.3875 22.74 301.075
  17 0.4125 20.02 299.248
  18 0.4375 20 296.805
  19 0.4625 20 299.899
  20 0.4875 20 311.868
  21 0.5125 20 298.889
  22 0.5375 20 293.209
  23 0.5625 20 308.575
  24 0.5875 20 309.011
  25 0.6125 20 311.58
  26 0.6375 20 299.509
  27 0.6625 20 307.838
  28 0.6875 20 317.555
  29 0.7125 20 307.133
  30 0.7375 20.01 324.522
  31 0.7625 20.84 322.451
  32 0.7875 30.03 324.826
  33 0.8125 28.66 333.805
  34 0.8375 20.46 384.282
  35 0.8625 20 392.216
  36 0.8875 20 410.325
  37 0.9125 20 391.513
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
60000 40 720
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 20 202.058
  5 0.1125 20 201.148
  6 0.1375 20 220.067
  7 0.1625 20 255.65
  8 0.1875 20 272.912
  9 0.2125 20 287.302
  10 0.2375 20 280.953
  11 0.2625 20 282.869
  12 0.2875 20 284.407
  13 0.3125 20.05 280.477
  14 0.3375 24.49 292.98
  15 0.3625 32.74 285.597
  16 0.3875 22.68 293.112
  17 0.4125 20.04 299.351
  18 0.4375 20 295.197
  19 0.4625 20 306.008
  20 0.4875 20 296.006
  21 0.5125 20 304.989
  22 0.5375 20 304.623
  23 0.5625 20 301.46
  24 0.5875 20 311.441
  25 0.6125 20 319.641
  26 0.6375 20 309.586
  27 0.6625 20 324.835
  28 0.6875 20 318.825
  29 0.7125 20 314.497
  30 0.7375 20.01 315.48
  31 0.7625 20.77 319.151
  32 0.7875 29.74 330.118
  33 0.8125 29.04 342.737
  34 0.8375 20.44 387.708
  35 0.8625 20 398.879
  36 0.8875 20 404.451
  37 0.9125 20 404.201
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
